common_name,species_name,alpha_code,genus,species,gbif_key,t_phylum,t_class,t_order,t_family,grouping,ndow_code
California floater,Anodonta californiensis,,Anodonta,californiensis,2287936,Mollusca,Bivalvia,Unionoida,Unionidae,bivalve,42
fingernail clam (unknown),Pisidium sp.,,Pisidium,sp.,2286678,Mollusca,Bivalvia,Veneroida,Sphaeriidae,bivalve,825
Herrington fingernail clam,Sphaerium occidentale,,Sphaerium,occidentale,5189019,Mollusca,Bivalvia,Veneroida,Sphaeriidae,bivalve,1070
quagga mussel,Dreissena bugensis,,Dreissena,bugensis,2287073,Mollusca,Bivalvia,Veneroida,Dreissenidae,bivalve,358
Rocky Mountain fingernail clam,Sphaerium patella,,Sphaerium,patella,5189018,Mollusca,Bivalvia,Veneroida,Sphaeriidae,bivalve,1071
triangular peaclam,Pisidium variabile,,Pisidium,variabile,2286689,Mollusca,Bivalvia,Veneroida,Sphaeriidae,bivalve,826
ubiquitous peaclam,Pisidium casertanum,,Pisidium,casertanum,2286685,Mollusca,Bivalvia,Veneroida,Sphaeriidae,bivalve,824
golden freshwater clam,Corbicula fluminea,,Corbicula,fluminea,8190231,Mollusca,Bivalvia,Veneroida,Cyrenidae,bivalve,1273
alkali fairy shrimp,Branchinecta mackini,,Branchinecta,mackini,2235349,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,crustacean,102
beavertail fairy shrimp,Thamnocephalus platyurus,,Thamnocephalus,platyurus,4806113,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,crustacean,1132
Colorado fairy shrimp,Branchinecta coloradensis,,Branchinecta,coloradensis,2235373,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,crustacean,98
Dissimilar fairy shrimp,Branchinecta dissimilis,,Branchinecta,dissimilis,2235365,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,crustacean,99
giant fairy shrimp,Branchinecta gigas,,Branchinecta,gigas,2235362,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,crustacean,100
mountain fairy shrimp,Branchinecta sp. 4,,Branchinecta,sp.,9040651,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,crustacean,103
San Francisco brine shrimp,Artemia franciscana,,Artemia,franciscana,5180091,Arthropoda,Branchiopoda,Anostraca,Artemiidae,crustacean,70
versitile fairy shrimp,Branchinecta lindahli,,Branchinecta,lindahli,2235379,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,crustacean,101
straightbacked clam shrimp,Eocyzicus digueti,,Eocyzicus,digueti,2234638,Arthropoda,Branchiopoda,Diplostraca,Cyzicidae,crustacean,389
bilobed tadpole shrimp,Lepidurus bilobatus,,Lepidurus,bilobatus,5180069,Arthropoda,Branchiopoda,Notostraca,Triopsidae,crustacean,565
lemon tadpole shrimp,Lepidurus lemmoni,,Lepidurus,lemmoni,5180072,Arthropoda,Branchiopoda,Notostraca,Triopsidae,crustacean,566
tadpole shrimp (unknown),Lepidurus sp.,,Lepidurus,sp.,2235049,Arthropoda,Branchiopoda,Notostraca,Triopsidae,crustacean,567
tadpole shrimp (unknown),Triops sp.,,Triops,sp.,2235057,Arthropoda,Branchiopoda,Notostraca,Triopsidae,crustacean,1165
cutbow trout,Oncorhynchus mykiss x Oncorhynchus clarkii,,Oncorhynchus,mykiss,,data,data,data,data,salmonid,708
tiger trout,Salmo trutta x Salvelinus fontinalis,,Salmo,trutta,,data,data,data,data,salmonid,1003
razorback x flannelmouth sucker (hybrid),Xyrauchen texanus x Catostomus latipinnis,,Xyrauchen,texanus,,data,data,data,data,ostariophysian,1288
freshwater snail,Vorticifex solida,,Vorticifex,solida,2291012,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,1230
artemesian rams-horn,Vorticifex effusa,,Vorticifex,effusa,2291009,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,1228
ash gyro,Gyraulus parvus,,Gyraulus,parvus,2290996,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,485
big-eared radix,Radix auricularia,,Radix,auricularia,5189888,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,959
carib fossaria,Fossaria cubensis,,Fossaria,cubensis,5189870,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,421
opossum shrimp,Mysis diluviana,,Mysis,diluviana,5864037,Arthropoda,Malacostraca,Mysida,Mysidae,crustacean,1278
creeping ancylid,Ferrissia rivularis,,Ferrissia,rivularis,2291157,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,412
Dall rams-horn,Vorticifex effusus,,Vorticifex,effusus,2291009,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,1229
desert physa,Physella boucardi,,Physella,boucardi,5189793,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,797
disc gyro,Gyraulus circumstriatus,,Gyraulus,circumstriatus,2290992,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,484
fine-lined rams-horn,Planorbella occidentalis,,Planorbella,occidentalis,5189735,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,831
Fish Springs marshsnail,Stagnicola pilsbryi,,Stagnicola,pilsbryi,5189905,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,1089
fossaria (unknown),Fossaria sp.,,Fossaria,sp.,3261473,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,425
glass physa,Physa skinneri,,Physa,skinneri,5189774,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,795
golden fossaria,Fossaria obrussa,,Fossaria,obrussa,5189868,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,423
Great Basin rams-horn,Helisoma newberryi newberryi,,Helisoma,newberryi,5189725,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,492
gyro (unknown),Gyraulus sp.,,Gyraulus,sp.,2290991,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,486
lance aplexa,Aplexa elongata,,Aplexa,elongata,2291095,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,58
limpet (unknown),Lanx sp.,,Lanx,sp.,2291239,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,538
marsh pondsnail,Stagnicola elodes,,Stagnicola,elodes,5189907,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,1086
marsh rams-horn,Planorbella trivolvis,,Planorbella,trivolvis,5189748,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,834
Mexican rams-horn,Planorbella tenuis,,Planorbella,tenuis,5189744,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,833
mountain marshsnail,Stagnicola montanensis,,Stagnicola,montanensis,5189908,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,1088
prairie fossaria,Fossaria bulimoides,,Fossaria,bulimoides,5189885,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,420
protean physa,Physella virgata,,Physella,virgata,5189802,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,801
pygmy fossaria,Fossaria parva,,Fossaria,parva,5189883,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,424
rams-horn (unknown),Helisoma sp.,,Helisoma,sp.,5189721,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,493
rock fossaria,Fossaria modicella,,Fossaria,modicella,5189880,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,422
Rocky Mountain physa,Physella propinqua,,Physella,propinqua,5189799,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,800
rough rams-horn,Planorbella subcrenata,,Planorbella,subcrenata,5189733,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,832
snail,Parapholyx enfusa,,Parapholyx,enfusa,2290960,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,747
St. Lawrence pondsnail,Stagnicola emarginata,,Stagnicola,emarginata,5189899,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,1087
swamp lymnaea,Lymnaea stagnalis,,Lymnaea,stagnalis,2291253,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,594
tadpole physa,Physella gyrina,,Physella,gyrina,5189789,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,798
twisted Physa,Physella lordi,,Physella,lordi,5189790,Mollusca,Gastropoda,Hygrophila,Physidae,gastropod,799
two-ridge rams-horn,Helisoma anceps,,Helisoma,anceps,5189722,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,491
umbilicate sprite,Promenetus umbilicatellus,,Promenetus,umbilicatellus,2290959,Mollusca,Gastropoda,Hygrophila,Planorbidae,gastropod,872
wrinkled marshsnail,Stagnicola caperata,,Stagnicola,caperata,5189897,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,gastropod,1085
Badwater snail,Assiminea infima,,Assiminea,infima,2301952,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,gastropod,75
ashy pebblesnail,Fluminicola hindsi,,Fluminicola,hindsi,5192433,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,gastropod,414
assiminea (unknown),Assiminea sp.,,Assiminea,sp.,2301943,Mollusca,Gastropoda,Littorinimorpha,Assimineidae,gastropod,76
corded pyrg,Pyrgulopsis nevadensis,,Pyrgulopsis,nevadensis,8256411,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,929
deep springs snail,Fontelicella nevadensis,,Fontelicella,nevadensis,2300164,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,418
desert tryonia,Tryonia porrecta,,Tryonia,porrecta,8992635,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1175
Fish Lake pyrg,Pyrgulopsis ruinosa,,Pyrgulopsis,ruinosa,9113754,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,939
fontecella (unknown),Fontelicella sp.,,Fontelicella,sp.,2300164,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,419
Owens Valley pyrg,Pyrgulopsis owensensis,,Pyrgulopsis,owensensis,2299981,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,932
springsnail (unknown),Pyrgulopsis sp.,,Pyrgulopsis,sp.,2299969,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,943
Surprise Valley pyrg,Pyrgulopsis gibba,,Pyrgulopsis,gibba,2300008,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,906
Toquerville pyrg,Pyrgulopsis kolobensis,,Pyrgulopsis,kolobensis,2300005,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,913
northern Soldier Meadow pyrg,Pyrgulopsis militaris,,Pyrgulopsis,militaris,9003146,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,924
Steptoe hydrobe,Eremopyrgus eganensis,,Eremopyrgus,eganensis,7725549,Mollusca,Gastropoda,Littorinimorpha,Cochliopidae,gastropod,395
Elko pyrg,Pyrgulopsis leporina,,Pyrgulopsis,leporina,9054535,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,917
neritiform Steptoe Ranch pyrg,Pyrgulopsis neritella,,Pyrgulopsis,neritella,9115593,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,928
sub-globose Steptoe Ranch pyrg,Pyrgulopsis orbiculata,,Pyrgulopsis,orbiculata,8929002,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,931
northern Steptoe pyrg,Pyrgulopsis serrata,,Pyrgulopsis,serrata,8763009,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,942
Amargosa tryonia,Tryonia variegata,,Tryonia,variegata,5192403,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1177
elongate-gland pyrg,Pyrgulopsis isolata,,Pyrgulopsis,isolata,2300016,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,912
White River Valley pyrg,Pyrgulopsis sathos,,Pyrgulopsis,sathos,9191372,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,941
Landyes pyrg,Pyrgulopsis landyei,,Pyrgulopsis,landyei,9168237,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,914
Hubbs pyrg,Pyrgulopsis hubbsi,,Pyrgulopsis,hubbsi,9152408,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,909
bifid duct pyrg,Pyrgulopsis peculiaris,,Pyrgulopsis,peculiaris,9110250,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,934
Lake Valley pyrg,Pyrgulopsis sublata,,Pyrgulopsis,sublata,8954269,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,945
minute tryonia,Tryonia ericae,,Tryonia,ericae,5192414,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1173
Pyramid Lake pebblesnail,Fluminicola dalli,,Fluminicola,dalli,5192426,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,gastropod,413
Fairbanks pyrg,Pyrgulopsis fairbanksensis,,Pyrgulopsis,fairbanksensis,2300019,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,904
southern Soldier Meadow pyrg,Pyrgulopsis umbilicata,,Pyrgulopsis,umbilicata,9092893,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,948
flag pyrg,Pyrgulopsis breviloba,,Pyrgulopsis,breviloba,8784607,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,893
distal-gland pyrg,Pyrgulopsis nanus,,Pyrgulopsis,nanus,2300023,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,927
southern Steptoe pyrg,Pyrgulopsis sulcata,,Pyrgulopsis,sulcata,9181021,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,946
northwest Bonneville pyrg,Pyrgulopsis variegata,,Pyrgulopsis,variegata,8906127,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,949
Antelope Valley pyrg,Pyrgulopsis pellita,,Pyrgulopsis,pellita,9157901,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,935
carinate Duckwater pyrg,Pyrgulopsis carinata,,Pyrgulopsis,carinata,8775530,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,896
Kings River pyrg,Pyrgulopsis imperialis,,Pyrgulopsis,imperialis,8837361,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,911
longitudinal gland pyrg,Pyrgulopsis anguina,,Pyrgulopsis,anguina,9056414,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,887
grated tryonia,Tryonia clathrata,,Tryonia,clathrata,5192404,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1171
Big Warm Spring pyrg,Pyrgulopsis papillata,,Pyrgulopsis,papillata,9047790,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,933
Ash Meadows pebblesnail,Pyrgulopsis erythropoma,,Pyrgulopsis,erythropoma,2300030,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,903
elongate Mud Meadows pyrg,Pyrgulopsis notidicola,,Pyrgulopsis,notidicola,9139724,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,930
vineyards pyrg,Pyrgulopsis vinyardi,,Pyrgulopsis,vinyardi,8962577,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,951
large gland Carico pyrg,Pyrgulopsis basiglans,,Pyrgulopsis,basiglans,8871441,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,891
small gland Carico pyrg,Pyrgulopsis bifurcata,,Pyrgulopsis,bifurcata,8955682,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,892
Lockes pyrg,Pyrgulopsis lockensis,,Pyrgulopsis,lockensis,8795922,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,919
Butterfield pyrg,Pyrgulopsis lata,,Pyrgulopsis,lata,8824535,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,915
Moapa pebblesnail,Pyrgulopsis avernalis,,Pyrgulopsis,avernalis,2300018,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,890
Virginia Mountains pebblesnail,Fluminicola virginius,,Fluminicola,virginius,8954529,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,gastropod,417
ovate Cain Spring pyrg,Pyrgulopsis pictilis,,Pyrgulopsis,pictilis,9131022,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,936
median-gland Nevada pyrg,Pyrgulopsis pisteri,,Pyrgulopsis,pisteri,2299996,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,937
southeast Nevada pyrg,Pyrgulopsis turbatrix,,Pyrgulopsis,turbatrix,7738803,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,947
sportinggoods tryonia,Tryonia angulata,,Tryonia,angulata,5192406,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1170
squat Mud Meadows pyrg,Pyrgulopsis limaria,,Pyrgulopsis,limaria,8960780,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,918
Blue Point pyrg,Pyrgulopsis coloradensis,,Pyrgulopsis,coloradensis,9122383,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,898
Camp Valley pyrg,Pyrgulopsis montana,,Pyrgulopsis,montana,8808727,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,926
western Lahontan pyrg,Pyrgulopsis longiglans,,Pyrgulopsis,longiglans,9078957,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,920
Crittenden pyrg,Pyrgulopsis lentiglans,,Pyrgulopsis,lentiglans,9175535,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,916
southern Duckwater pyrg,Pyrgulopsis anatina,,Pyrgulopsis,anatina,9147014,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,886
Point of Rocks tryonia,Tryonia elata,,Tryonia,elata,5192408,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1172
Sterile Basin pyrg,Pyrgulopsis sterilis,,Pyrgulopsis,sterilis,8803861,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,944
flat-topped Steptoe pyrg,Pyrgulopsis planulata,,Pyrgulopsis,planulata,8912595,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,938
hardy pyrg,Pyrgulopsis marcida,,Pyrgulopsis,marcida,9099735,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,921
Corn Creek pyrg,Pyrgulopsis fausta,,Pyrgulopsis,fausta,9213157,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,905
Cortez Hills (Carlin) pebblesnail,Pyrgulopsis bryantwalkeri,,Pyrgulopsis,bryantwalkeri,2300021,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,895
Pahranagat pebblesnail,Pyrgulopsis merriami,,Pyrgulopsis,merriami,2300020,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,922
Sadas pyrg,Pyrgulopsis sadai,,Pyrgulopsis,sadai,8859698,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,940
Wongs pyrg,Pyrgulopsis wongi,,Pyrgulopsis,wongi,2299991,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,952
upper Thousand Spring pyrg,Pyrgulopsis hovinghi,,Pyrgulopsis,hovinghi,8856620,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,908
Humboldt pyrg,Pyrgulopsis humboldtensis,,Pyrgulopsis,humboldtensis,8848608,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,910
elongate Cain Spring pyrg,Pyrgulopsis augustae,,Pyrgulopsis,augustae,9085736,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,888
Duckwater Warm Springs pyrg,Pyrgulopsis villacampae,,Pyrgulopsis,villacampae,9195413,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,950
Dixie Valley pyrg,Pyrgulopsis dixensis,,Pyrgulopsis,dixensis,9006406,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,902
Monitor tryonia,Tryonia monitorae,,Tryonia,monitorae,8942293,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1174
turban pebblesnail,Fluminicola turbiniformis,,Fluminicola,turbiniformis,5192427,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,gastropod,416
Twenty-one Mile pyrg,Pyrgulopsis millenaria,,Pyrgulopsis,millenaria,9094377,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,925
Emigrant pyrg,Pyrgulopsis gracilis,,Pyrgulopsis,gracilis,8935817,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,907
Moapa Valley pyrg,Pyrgulopsis carinifera,,Pyrgulopsis,carinifera,2299999,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,897
transverse gland pyrg,Pyrgulopsis cruciglans,,Pyrgulopsis,cruciglans,5784298,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,899
Fly Ranch pyrg,Pyrgulopsis bruesi,,Pyrgulopsis,bruesi,8817926,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,894
Duckwater pyrg,Pyrgulopsis aloba,,Pyrgulopsis,aloba,5784297,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,885
Spring Mountains pyrg,Pyrgulopsis deaconi,,Pyrgulopsis,deaconi,8742763,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,901
Crystal Spring pyrg,Pyrgulopsis crystalis,,Pyrgulopsis,crystalis,2300024,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,900
Oasis Valley pyrg,Pyrgulopsis micrococcus,,Pyrgulopsis,micrococcus,2299987,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,923
Pleasant Valley pyrg,Pyrgulopsis aurata,,Pyrgulopsis,aurata,8791117,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,889
Varners pyrg,Pyrgulopsis varneri,,Pyrgulopsis,varneri,8977434,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,gastropod,1265
ambersnail (unknown),Oxyloma sp.,,Oxyloma,sp.,7921295,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,740
black-footed tightcoil,Pristiloma chersinella,,Pristiloma,chersinella,2295349,Mollusca,Gastropoda,Stylommatophora,Zonitidae,gastropod,867
brown hive,Euconulus fulvus,,Euconulus,fulvus,4304721,Mollusca,Gastropoda,Stylommatophora,Helicarionidae,gastropod,398
carved glyph,Glyphyalinia indentata,,Glyphyalinia,indentata,2295378,Mollusca,Gastropoda,Stylommatophora,Zonitidae,gastropod,472
chrome ambersnail,Catinella rehderi,,Catinella,rehderi,5191205,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,189
crestless column,Pupilla hebes,,Pupilla,hebes,5190467,Mollusca,Gastropoda,Stylommatophora,Pupillidae,gastropod,882
cross vertigo,Vertigo modesta,,Vertigo,modesta,9127721,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,gastropod,1212
cylindrical vertigo,Vertigo binneyana,,Vertigo,binneyana,2293993,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,gastropod,1209
forest disc,Discus whitneyi,,Discus,whitneyi,5190494,Mollusca,Gastropoda,Stylommatophora,Discidae,gastropod,355
Humboldt ambersnail,Oxyloma sillimani,,Oxyloma,sillimani,5191187,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,739
Kyle Canyon mountainsnail,Oreohelix jaegeri,,Oreohelix,jaegeri,2293916,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,gastropod,723
lehmania (slug),Lehmania valentianus,,Lehmania,valentianus,5190784,Mollusca,Gastropoda,Stylommatophora,Limacidae,gastropod,557
lyrate mountainsnail,Oreohelix haydeni,,Oreohelix,haydeni,2293937,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,gastropod,721
meadow slug,Deroceras laeve,,Deroceras,laeve,5781358,Mollusca,Gastropoda,Stylommatophora,Limacidae,gastropod,342
minute gem,Hawaiia minuscula,,Hawaiia,minuscula,2295309,Mollusca,Gastropoda,Stylommatophora,Zonitidae,gastropod,489
mitered vertigo,Vertigo concinnula,,Vertigo,concinnula,2293995,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,gastropod,1210
mottled taildropper,Prophysaon obscurum,,Prophysaon,obscurum,2294066,Mollusca,Gastropoda,Stylommatophora,Arionidae,gastropod,873
mountainsnail (unknown),Oreohelix sp.,,Oreohelix,sp.,2293898,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,gastropod,726
multirib vallonia,Vallonia gracilicosta,,Vallonia,gracilicosta,2296014,Mollusca,Gastropoda,Stylommatophora,Valloniidae,gastropod,1200
ninepipes ambersnail,Oxyloma missoula,,Oxyloma,missoula,5191194,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,738
ovate vertigo,Vertigo ovata,,Vertigo,ovata,2293979,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,gastropod,1213
pinhead spot,Punctum conspectum,,Punctum,conspectum,4304735,Mollusca,Gastropoda,Stylommatophora,Punctidae,gastropod,880
quick gloss,Zonitoides arboreus,,Zonitoides,arboreus,2295425,Mollusca,Gastropoda,Stylommatophora,Gastrodontidae,gastropod,1248
riblet ambersnail,Catinella gabbi,,Catinella,gabbi,5191207,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,188
Rocky Mountain column,Pupilla blandi,,Pupilla,blandi,5190463,Mollusca,Gastropoda,Stylommatophora,Pupillidae,gastropod,881
rustic ambersnail,Succinea rusticana,,Succinea,rusticana,2297219,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,1110
Sierra ambersnail,Catinella stretchiana,,Catinella,stretchiana,5191206,Mollusca,Gastropoda,Stylommatophora,Succineidae,gastropod,191
silky vallonia,Vallonia cyclophorella,,Vallonia,cyclophorella,2296008,Mollusca,Gastropoda,Stylommatophora,Valloniidae,gastropod,1199
spruce snail,Microphysula ingersolli,,Microphysula,ingersolli,2294169,Mollusca,Gastropoda,Stylommatophora,Thysanophoridae,gastropod,627
striate disc,Discus shimekki,,Discus,shimekki,5190489,Mollusca,Gastropoda,Stylommatophora,Discidae,gastropod,354
thin pillar,Cochlicopa lubricella,,Cochlicopa,lubricella,2295976,Mollusca,Gastropoda,Stylommatophora,Cochlicopidae,gastropod,247
top-heavy column,Pupilla syngenes,,Pupilla,syngenes,5190464,Mollusca,Gastropoda,Stylommatophora,Pupillidae,gastropod,884
variable vertigo,Vertigo gouldi,,Vertigo,gouldi,2293985,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,gastropod,1211
western glass-snail,Vitrina pellucida,,Vitrina,pellucida,2294290,Mollusca,Gastropoda,Stylommatophora,Vitrinidae,gastropod,1227
widespread column,Pupilla muscorum,,Pupilla,muscorum,5190466,Mollusca,Gastropoda,Stylommatophora,Pupillidae,gastropod,883
slug,Deroceras pachyostracon,,Deroceras,pachyostracon,5190776,Mollusca,Gastropoda,Stylommatophora,Limacidae,gastropod,1254
Goshute mountainsnail,Oreohelix loisae,,Oreohelix,loisae,2293898,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,gastropod,724
Whitepine mountainsnail,Oreohelix hemphilli,,Oreohelix,hemphilli,2293902,Mollusca,Gastropoda,Stylommatophora,Oreohelicidae,gastropod,722
